x,f-I
-21.54,5.5
-16.41,7.5
0.58,12.7
20.99,20.6
40.08,30.6
60.25,38.2
80.3,47.9
100.25,60.1
120.33,73.4
140.8,92.3
160.16,108.7
180.99,127.8
200.49,146.8
221.17,159.7
240.89,175.8
261.34,190.4
281.03,199.7
301.8,205.6
321.24,213.2
341.52,217.3
361.16,216.8
