x,f-I
-54.85,-0.06
-0.42,24.41
20.2,37.81
39.84,54.12
59.72,77.61
80.22,138.93
100.22,169.99
120.1,182.81
139.61,197.75
160.11,204.94
180,214.46
200.25,215.63
