x,f-I
-30.17,0.21
-25.62,5.36
-20.41,7.51
0.4,15.66
20.23,28.53
40.39,39.68
59.9,52.98
79.74,71.85
99.91,94.16
119.75,121.61
139.59,145.63
159.43,172.23
179.92,186.81
199.92,202.47
220.24,215.34
239.75,225.2
