x,f-I
-0.1,17.73
20.03,29.11
39.94,40.83
59.96,56.55
79.88,78.18
100.02,106.85
120.06,137.17
140.08,148.64
160.1,158.97
180.12,168.26
200.14,173.55
220.27,174.67
240.28,175.27
