x,f-I
21.06,12.13
39.8,19.05
60.1,25.98
80.4,32.9
99.92,41.56
119.42,51.38
139.7,64.08
160.77,75.63
180.23,96.43
199.68,122.43
219.95,138.02
239.41,158.82
259.7,169.21
279.2,179.9
299.11,187.4
319.01,197.21
338.92,203.56
359.61,210.49
379.54,214.52
399.07,217.98
418.99,222.88
438.91,225.76
458.84,229.21
479.15,234.69
499.08,235.26
519,239.3
