x,f-I
0,10.99
20.49,18.71
40.1,26.44
60.16,35.35
80.21,43.96
99.83,54.65
119.88,65.94
139.93,77.82
159.55,107.52
180.03,106.04
200.09,124.75
220.14,138.42
240.63,160.69
260.24,174.95
280.3,199.9
299.91,214.46
319.97,215.05
339.58,224.55
359.63,231.09
379.69,240.3
400.17,249.8
420.23,256.93
440.06,266.81
460,272.67
480.06,277.43
500.22,284.11
